,prname,numconf,date,doublingrate
0,Alberta,1,08-03-2020,1.0
1,Alberta,7,09-03-2020,1.0
2,Alberta,14,11-03-2020,inf
3,Alberta,19,12-03-2020,3.0
4,Alberta,23,13-03-2020,4.0
5,Alberta,29,14-03-2020,3.0
6,Alberta,39,15-03-2020,3.0
7,Alberta,56,16-03-2020,2.0
8,Alberta,74,17-03-2020,3.0
9,Alberta,97,18-03-2020,3.0
10,Alberta,146,19-03-2020,2.0
11,Alberta,195,20-03-2020,3.0
12,Alberta,226,21-03-2020,5.0
13,Alberta,259,22-03-2020,6.0
14,Alberta,301,23-03-2020,5.0
15,Alberta,358,24-03-2020,4.0
16,Alberta,419,25-03-2020,5.0
17,Alberta,486,26-03-2020,5.0
18,Alberta,542,27-03-2020,7.0
19,Alberta,542,28-03-2020,inf
20,Alberta,621,29-03-2020,6.0
21,Alberta,690,30-03-2020,7.0
22,Alberta,754,31-03-2020,8.0
23,Alberta,754,01-04-2020,inf
24,Alberta,968,02-04-2020,3.0
25,Alberta,1075,03-04-2020,7.0
26,Alberta,1075,04-04-2020,inf
27,Alberta,1250,05-04-2020,5.0
28,Alberta,1348,06-04-2020,10.0
29,Alberta,1373,07-04-2020,38.0
30,Alberta,1423,08-04-2020,20.0
31,Alberta,1451,09-04-2020,36.0
32,Alberta,1500,10-04-2020,21.0
33,Alberta,1569,11-04-2020,16.0
34,Alberta,1651,12-04-2020,14.0
35,Alberta,1732,13-04-2020,15.0
36,Alberta,1870,14-04-2020,10.0
37,Alberta,1996,15-04-2020,11.0
38,Alberta,2158,16-04-2020,9.0
39,Alberta,2397,17-04-2020,7.0
40,Alberta,2562,18-04-2020,11.0
41,Alberta,2562,19-04-2020,inf
42,Alberta,2908,20-04-2020,6.0
43,Alberta,3095,21-04-2020,12.0
44,Alberta,3401,22-04-2020,8.0
45,Alberta,3720,23-04-2020,8.0
46,Alberta,4017,24-04-2020,10.0
47,Alberta,4233,25-04-2020,14.0
48,Alberta,4480,26-04-2020,13.0
49,Alberta,4696,27-04-2020,15.0
50,Alberta,4850,28-04-2020,22.0
51,Alberta,5165,29-04-2020,12.0
52,Alberta,5355,30-04-2020,20.0
53,Alberta,5573,01-05-2020,18.0
54,Alberta,5670,02-05-2020,41.0
55,Alberta,5766,03-05-2020,42.0
56,Alberta,5836,04-05-2020,58.0
57,Alberta,5893,05-05-2020,72.0
58,Alberta,5963,06-05-2020,59.0
59,Alberta,6017,07-05-2020,77.0
60,Alberta,6098,08-05-2020,52.0
61,Alberta,6157,09-05-2020,72.0
62,Alberta,6253,10-05-2020,45.0
63,Alberta,6300,11-05-2020,93.0
64,Alberta,6345,12-05-2020,98.0
65,Alberta,6407,13-05-2020,72.0
66,Alberta,6457,14-05-2020,90.0
67,Alberta,6515,15-05-2020,78.0
68,Alberta,6587,16-05-2020,63.0
69,Alberta,6644,17-05-2020,81.0
70,Alberta,6683,18-05-2020,118.0
71,Alberta,6716,19-05-2020,142.0
72,Alberta,6716,20-05-2020,inf
73,Alberta,6768,21-05-2020,91.0
74,Alberta,6800,22-05-2020,148.0
75,Alberta,6818,23-05-2020,267.0
76,Alberta,6860,24-05-2020,113.0
77,Alberta,6879,25-05-2020,248.0
78,Alberta,6901,26-05-2020,217.0
79,Alberta,6926,27-05-2020,193.0
80,Alberta,6955,28-05-2020,166.0
81,Alberta,6979,29-05-2020,199.0
82,Alberta,6992,30-05-2020,366.0
83,Alberta,7010,31-05-2020,267.0
84,Alberta,7044,01-06-2020,142.0
85,Alberta,7057,02-06-2020,386.0
86,Alberta,7076,03-06-2020,258.0
87,Alberta,7091,04-06-2020,331.0
88,Alberta,7098,05-06-2020,694.0
89,Alberta,7138,06-06-2020,125.0
90,Alberta,7138,07-06-2020,inf
91,Alberta,7202,08-06-2020,78.0
92,Alberta,7229,09-06-2020,188.0
93,Alberta,7276,10-06-2020,107.0
94,Alberta,7316,11-06-2020,127.0
95,Alberta,7346,12-06-2020,170.0
96,Alberta,7383,13-06-2020,139.0
97,Alberta,7433,14-06-2020,103.0
98,Alberta,7453,15-06-2020,258.0
99,Alberta,7482,16-06-2020,179.0
100,Alberta,7530,17-06-2020,109.0
101,Alberta,7579,18-06-2020,107.0
102,Alberta,7625,19-06-2020,114.0
